latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
6.80049455,2.85281794,15.8625,0.7923,"POLYGON((2.85284248052628 6.80048694429098, 2.85283048526142 6.80051697706794, 2.85279337924854 6.80050216966847, 2.85280537451527 6.8004721368924, 2.85284248052628 6.80048694429098))",6FR4RV23+54WJ
6.83613058,2.91015442,67.2950,0.7817,"POLYGON((2.91020572986148 6.83614341672707, 2.91013164831676 6.83617829702452, 2.91010310694536 6.83611774071112, 2.9101771884827 6.83608286041787, 2.91020572986148 6.83614341672707))",6FR4RWP6+F329
6.83539224,2.87743178,266.3970,0.9514,"POLYGON((2.87755980777103 6.83539741398487, 2.87752440706051 6.83548072545328, 2.87730374276899 6.83538705653448, 2.8773391435109 6.83530374508117, 2.87755980777103 6.83539741398487))",6FR4RVPG+5X3Q
6.79734637,2.84843873,43.5578,0.8321,"POLYGON((2.84842883500772 6.79739491616559, 2.8483968076474 6.79737279497211, 2.84844863736144 6.79729781983167, 2.84848066471971 6.79731994102117, 2.84842883500772 6.79739491616559))",6FR4QRWX+W9PR
6.79714011,2.84998861,38.0307,0.6643,"POLYGON((2.85002705121932 6.79713145272305, 2.84999481958877 6.79717900739542, 2.849950173784 6.79714877336587, 2.8499824054173 6.79710121869674, 2.85002705121932 6.79713145272305))",6FR4QRWX+VX5P
6.80351977,2.85982709,67.2240,0.8483,"POLYGON((2.85988477797069 6.80352589249829, 2.85985563414088 6.80357025378399, 2.85976939367521 6.80351364703278, 2.85979853750941 6.80346928575236, 2.85988477797069 6.80352589249829))",6FR4RV35+CW4M
6.82009265,2.88298116,117.5836,0.8495,"POLYGON((2.88305028862701 6.82009623304569, 2.88297691504343 6.82016170806628, 2.88291203513317 6.82008907095704, 2.88298540871423 6.82002359594611, 2.88305028862701 6.82009623304569))",6FR4RVCM+25QM
6.79794242,2.84917798,105.8120,0.8444,"POLYGON((2.84924338332827 6.79793552845531, 2.84917961865977 6.79800813808482, 2.8491125797395 6.79794931636194, 2.8491763444099 6.79787670674097, 2.84924338332827 6.79793552845531))",6FR4QRXX+5MFP
6.80109127,2.85368094,68.9455,0.8588,"POLYGON((2.85374090863128 6.80110013161602, 2.8537128142019 6.80114280490051, 2.8536209849664 6.80108240110783, 2.85364907940039 6.80103972782883, 2.85374090863128 6.80110013161602))",6FR4RV23+CFMQ
6.79825190,2.84994579,110.6183,0.8635,"POLYGON((2.85001338948393 6.79823699150962, 2.84998278696447 6.79831038037943, 2.84987818954092 6.79826680187638, 2.8499087920731 6.79819341301333, 2.85001338948393 6.79823699150962))",6FR4QRXX+8X43
6.82594197,2.89426620,98.6530,0.8615,"POLYGON((2.89426656195453 6.82602472563323, 2.89421794393732 6.82600921628939, 2.89426584289857 6.82585921214017, 2.89431446090244 6.82587472147893, 2.89426656195453 6.82602472563323))",6FR4RVGV+9PCP
6.80304776,2.85831992,144.0005,0.8555,"POLYGON((2.85839104510386 6.80301475316996, 2.85837271558302 6.80310571352381, 2.85824879664825 6.80308076456902, 2.85826712619131 6.80298980422021, 2.85839104510386 6.80301475316996))",6FR4RV35+688R
6.82616511,2.89635968,76.5021,0.8362,"POLYGON((2.89641093628227 6.82614293919442, 2.89638380857229 6.82621546384034, 2.89630842324532 6.82618729380205, 2.89633555096495 6.82611476916051, 2.89641093628227 6.82614293919442))",6FR4RVGW+FG9P
6.80246155,2.85273722,11.6236,0.6751,"POLYGON((2.85275671972296 6.80245169127963, 2.85274954859124 6.8024796019765, 2.85271772649273 6.80247143309866, 2.8527248976261 6.80244352240236, 2.85275671972296 6.80245169127963))",6FR4RV23+X3QG
6.82036595,2.88187127,131.7245,0.8882,"POLYGON((2.88194145928546 6.82034397918392, 2.88190190259229 6.8204327855672, 2.88180107002224 6.82038791511909, 2.88184062673039 6.82029910874425, 2.88194145928546 6.82034397918392))",6FR4RVCJ+4PXQ
6.79808230,2.85531562,120.5569,0.8761,"POLYGON((2.8553817090425 6.79805884881935, 2.85533581242169 6.79814942173129, 2.85524953379845 6.79810573895794, 2.85529543043092 6.7980151660542, 2.8553817090425 6.79805884881935))",6FR4QVX4+64P6
6.83322744,2.91039749,125.8261,0.7787,"POLYGON((2.91039457798041 6.8333059875513, 2.91033071207947 6.83326895528027, 2.91040040507849 6.83314888436248, 2.91046427097114 6.83318591662757, 2.91039457798041 6.8333059875513))",6FR4RWM6+75R4
6.80294903,2.85818014,149.6930,0.8695,"POLYGON((2.85824363957614 6.80290138237114, 2.85821017463225 6.80302249818056, 2.85811663973314 6.80299667684399, 2.85815010469833 6.80287556104144, 2.85824363957614 6.80290138237114))",6FR4RV35+57FX
6.80083634,2.85448007,16.8615,0.7595,"POLYGON((2.85450198009839 6.80082146403593, 2.85449019502617 6.8008608155798, 2.85445816492551 6.80085123154655, 2.85446995000002 6.80081188000349, 2.85450198009839 6.80082146403593))",6FR4RV23+8QQF
6.80175640,2.85310786,13.0149,0.7321,"POLYGON((2.85311953518069 6.80177699013594, 2.85309219215909 6.80177414285597, 2.85309618948165 6.80173578951764, 2.85312353250088 6.80173863679718, 2.85311953518069 6.80177699013594))",6FR4RV23+P657
6.80201494,2.85743946,35.0294,0.7221,"POLYGON((2.85747715949508 6.80200023145723, 2.85747077055405 6.80204057145343, 2.85740177154807 6.80202965319454, 2.85740816049461 6.80198931319947, 2.85747715949508 6.80200023145723))",6FR4RV24+RX4C
6.79907661,2.85495023,110.1104,0.8782,"POLYGON((2.85501430300512 6.79905426241759, 2.85495755882472 6.79914403609553, 2.85488615852807 6.79909894455193, 2.85494290271667 6.79900917088281, 2.85501430300512 6.79905426241759))",6FR4QVX3+JXP3
6.81949729,2.88247738,198.7351,0.8906,"POLYGON((2.88256846900098 6.81948008658727, 2.88246312610326 6.81958884505312, 2.88238629604269 6.81951449886657, 2.88249163894053 6.81940574041688, 2.88256846900098 6.81948008658727))",6FR4RV9J+QXXV
6.82508228,2.90180755,27.4647,0.8428,"POLYGON((2.90183102323403 6.82505807822174, 2.90183556837515 6.82510104701397, 2.90178407974873 6.82510648803372, 2.90177953461222 6.82506351924107, 2.90183102323403 6.82505807822174))",6FR4RWG2+2PM9
